observed_on,time_observed_at,taxon_id,taxon_name,common_name,latitude,longitude,place_guess,description,user_login
2017-04-23,2017-04-23 14:51:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.5188967536,-80.356771946,"Miami-Dade County, FL, USA",,joemdo
2017-05-10,2017-05-10 22:25:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.7222031422,-80.1488149166,"Miami-Dade County, FL, USA",,joemdo
2017-04-14,2017-04-14 17:17:55,67440,Utetheisa ornatrix,Ornate Bella Moth,25.6323954603,-80.3409104516,"33176, Miami, FL, US",,eelprogramderm
2017-02-15,2017-02-15 18:29:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.4393272,-80.5063341,"Navy Wells Pineland Preserve, Homestead, FL 33034, USA",,joshualincoln
2016-06-10,2016-06-10 22:12:07,67440,Utetheisa ornatrix,Ornate Bella Moth,25.660018,-80.491118,edge of everglades trail,,joemdo
2017-01-08,2017-01-08 19:23:00,67440,Utetheisa ornatrix,Ornate Bella Moth,25.5974683996,-80.3908360004,"Miami-Dade County, FL, USA",,bloostar
2016-04-23,2016-04-23 13:19:27,67440,Utetheisa ornatrix,Ornate Bella Moth,25.9252780392,-80.1533361152,"16295 Biscayne Blvd Aventura, FL 33160","Moth or butterfly, looks more pink in flight than the picture shows. ",ted9
2016-04-23,2016-04-23 12:09:34,67440,Utetheisa ornatrix,Ornate Bella Moth,25.9256133333,-80.1505195,"Oleta River State Park, North Miami, FL, US",,lisa44
2016-04-23,2016-04-23 12:34:46,67440,Utetheisa ornatrix,Ornate Bella Moth,25.9255783333,-80.153175,"2701 NE 151st St, North Miami, FL, US",,chelegans
2018-11-13,2018-11-13 18:13:00,27138,Coluber constrictor paludicola,Everglades Racer,25.7660329774,-80.1328408361,"South Pointe, Miami Beach, FL 33139, USA",,minty_starlight
2018-11-08,2018-11-08 18:15:00,27138,Coluber constrictor paludicola,Everglades Racer,25.7658535424,-80.1333060982,"South Pointe, Miami Beach, FL 33139, USA",Only caught a brief look.  Maybe about 3 feet long. ,minty_starlight
2018-11-06,2018-11-06 15:54:25,27138,Coluber constrictor paludicola,Everglades Racer,25.6872352135,-80.1632284313,"723–735 Crandon Blvd, Key Biscayne, FL, US","Moved from side of the road, in a very urbanized location. ",nicosalino
2018-07-31,2018-07-31 13:58:22,27138,Coluber constrictor paludicola,Everglades Racer,25.535572052,-80.5604934692,"C-111 / Biscayne-Everglades Trail, Homestead, FL 33031, USA",,emilygati
2018-04-23,2018-04-24 00:07:31,27138,Coluber constrictor paludicola,Everglades Racer,25.6342883333,-80.3277966667,"14620 SW 83rd Ave, Palmetto Bay, FL, US",,ganthony
2018-10-02,2018-10-02 22:02:44,27138,Coluber constrictor paludicola,Everglades Racer,25.725425,-80.320655,"Tropical Park, Miami, FL, US",Dipped on a bird but still had a great time here after rushing over after work! This cutie stayed curled up here long enough for me to show him off to a couple different folks :),alyssacritters
2018-10-02,2018-10-02 17:11:18,27138,Coluber constrictor paludicola,Everglades Racer,25.62984967,-80.3026214,"6755 SW 152nd St, Palmetto Bay, FL 33157, USA",,steph_thecnidarian
2018-09-30,2018-09-30 17:46:00,27138,Coluber constrictor paludicola,Everglades Racer,25.7673902183,-80.1371818273,"South Pointe, Miami Beach, FL 33139, USA",,minty_starlight
2018-09-21,2018-09-21 21:28:00,27138,Coluber constrictor paludicola,Everglades Racer,25.6088380275,-80.4002064011,"Zoo Miami, Miami, FL, US",,_forte_
2018-09-04,2018-09-04 16:10:55,27138,Coluber constrictor paludicola,Everglades Racer,25.83737614,-80.24337097,"7011 NW 29th Ave, Miami, FL 33147, USA",,roshard
2018-08-25,2018-08-25 14:38:00,27138,Coluber constrictor paludicola,Everglades Racer,25.67629,-80.1570733333,"Miami-Dade County, FL, USA",,jaykeller
2018-08-22,2018-08-22 15:04:53,27138,Coluber constrictor paludicola,Everglades Racer,25.5911066921,-80.3331986948,"Whispering Pines Park, Cutler Bay, FL, US",,leah305
2018-08-20,2018-08-20 17:12:12,27138,Coluber constrictor paludicola,Everglades Racer,25.6764666667,-80.2751166667,"Fairchild Tropical Botanic Garden, Coral Gables, FL, US",,aphaywood
2018-08-11,2018-08-11 15:12:01,27138,Coluber constrictor paludicola,Everglades Racer,25.6084670546,-80.5527446979,"Everglades National Park, Miami, FL, US",,alexlamoreaux
2018-08-11,2018-08-11 12:39:31,27138,Coluber constrictor paludicola,Everglades Racer,25.6533309939,-80.2774230005,"R. Hardy Matheson Preserve, Coral Gables, FL, US",,tinbus
2018-08-06,2018-08-06 20:32:53,27138,Coluber constrictor paludicola,Everglades Racer,25.7165966667,-80.3482366667,"Miller Drive Park, Miami, FL, US",,_forte_
2017-01-20,2017-01-21 02:05:00,27138,Coluber constrictor paludicola,Everglades Racer,25.5317597797,-80.4249360171,"Miami-Dade County, US-FL, US","Subspecies marked/designation because of region/area -- if you by into this subspecies distinction!

A REQUEST: 
When recommending an identification, please adhere to current standards of taxonomy as deployed by iNaturalist at this time — as opposed to identifying and classifying organisms based on personal beliefs about what taxonomy can, should, or of right ought to be in opposition to iNaturalist’s current taxonomy. Comments noting such taxonomic disagreements, however, are welcomed and encouraged. I prefer my observations to be inline with current taxonomic standards as deployed by iNaturalist (as opposed to my personal beliefs) so that this and other observations are readily accessible to iNaturalist users with greater efficiency and usability. Thanks! 

If you have any questions regarding this observation, feel free to contact me or leave a comment below!

Janson Jones, 
http://floridensis.com. ",floridensis
2018-07-26,2018-07-26 18:47:52,27138,Coluber constrictor paludicola,Everglades Racer,25.6952090728,-80.2757960651,"8205 SW 51st Ave, Miami, FL, US",,kathryn83
2006-12-13,2006-12-14 00:39:00,27138,Coluber constrictor paludicola,Everglades Racer,25.3823998,-80.6064611,"Homestead, FL 33030, USA",,david_legros
2018-07-10,2018-07-10 17:59:04,27138,Coluber constrictor paludicola,Everglades Racer,25.6536703248,-80.2789018044,"12630 Ramiro St, Coral Gables, FL, US",,tinbus
2018-06-16,2018-06-16 16:11:06,27138,Coluber constrictor paludicola,Everglades Racer,25.87641545,-80.20589879,"11015 NW 5th Ave, Miami, FL 33168, USA",Snake,gipsonwes
2018-06-03,2018-06-03 11:40:55,27138,Coluber constrictor paludicola,Everglades Racer,25.7148171449,-80.283989953,"1515–1549 Corniche Ave, Coral Gables, FL, US",,phallon91
2018-06-03,2018-06-03 11:40:47,27138,Coluber constrictor paludicola,Everglades Racer,25.7148116737,-80.2839236523,"1515–1549 Corniche Ave, Coral Gables, FL, US",,krissyfishy
